item_id,order_id,product_id,quantity,unit_price,discount_percent
I00001,O0036,P0207,4,2220.7,48.66
I00002,O0031,P0330,3,4043.51,59.96
I00003,O0257,P0183,1,856.58,75.28
I00004,O0389,P0070,4,3396.01,34.52
I00005,O0247,P0330,4,1483.12,68.03
I00006,O0443,P0046,2,2110.21,78.49
I00007,O0169,P0388,3,4502.31,35.08
I00008,O0168,P0165,2,679.25,22.57
I00009,O0095,P0293,1,1965.87,39.74
I00010,O0385,P0223,4,4761.31,82.94
I00011,O0101,P0178,3,3665.2,36.24
I00012,O0341,P0423,4,3746.06,0.49
I00013,O0066,P0224,5,3392.93,54.91
I00015,O0379,P0408,4,3695.94,56.41
I00016,O0112,P0147,4,4232.08,3.5
I00017,O0104,P0004,1,1195.49,57.21
I00018,O0473,P0486,1,387.2,98.96
I00019,O0418,P0208,5,4129.06,6.49
I00020,O0056,P0439,2,2445.37,34.45
I00021,O0389,P0020,4,128.46,33.5
I00022,O0308,P0442,4,2013.04,90.38
I00023,O0484,P0363,5,1475.21,81.76
I00024,O0452,P0050,3,439.13,57.83
I00025,O0442,P0350,1,4462.17,47.32
I00026,O0183,P0050,4,1794.66,18.62
I00027,O0033,P0454,2,139.5,19.43
I00028,O0137,P0481,2,602.47,86.64
I00029,O0363,P0035,1,4552.44,0.23
I00030,O0194,P0310,3,3944.06,74.47
I00031,O0178,P0067,3,2939.46,93.41
I00032,O0236,P0448,5,1152.77,12.08
I00033,O0203,P0250,4,3325.27,30.64
I00034,O0293,P0421,2,2826.67,35.96
I00035,O0080,P0324,1,119.65,50.35
I00036,O0180,P0402,2,175.55,78.51
I00037,O0179,P0148,2,4080.38,69.62
I00038,O0302,P0096,1,1648.14,68.79
I00039,O0454,P0176,2,991.52,62.53
I00040,O0073,P0355,2,1430.86,94.79
I00041,O0446,P0398,4,4617.12,40.93
I00042,O0331,P0130,3,4987.66,51.07
I00043,O0085,P0147,2,2196.98,85.35
I00044,O0435,P0029,5,4753.98,99.05
I00045,O0364,P0417,5,986.76,5.06
I00046,O0120,P0040,1,1467.08,99.15
I00047,O0075,P0375,3,1347.42,19.01
I00048,O0500,P0343,5,3091.88,44.9
I00049,O0205,P0079,4,2809.34,84.34
I00050,O0096,P0278,4,2753.05,20.16
I00051,O0204,P0441,1,963.7,35.34
I00052,O0224,P0379,1,1856.05,40.91
I00053,O0360,P0332,5,442.37,28.96
I00054,O0484,P0295,5,2244.93,87.67
I00055,O0368,P0111,3,1075.33,12.49
I00057,O0307,P0492,4,2048.08,64.57
I00058,O0417,P0057,5,3471.06,70.74
I00059,O0120,P0024,5,2827.79,0.0
I00060,O0418,P0480,5,274.1,13.42
I00061,O0443,P0136,3,4644.89,39.91
I00062,O0073,P0444,3,213.31,71.59
I00063,O0493,P0342,1,2540.55,50.85
I00064,O0188,P0492,2,1475.16,32.8
I00065,O0170,P0258,4,1288.4,32.26
I00066,O0015,P0436,3,2113.31,14.19
I00067,O0287,P0033,5,157.05,42.62
I00068,O0450,P0485,3,793.82,56.35
I00069,O0220,P0135,5,3354.67,16.24
I00070,O0075,P0170,3,2296.59,88.04
I00071,O0370,P0127,5,4693.48,98.72
I00072,O0340,P0009,4,4527.31,32.64
I00073,O0360,P0238,1,448.95,62.7
I00074,O0008,P0307,1,4296.32,27.89
I00075,O0247,P0367,3,4914.97,38.66
I00076,O0122,P0012,5,4927.54,14.56
I00077,O0293,P0462,5,2575.92,95.99
I00078,O0191,P0215,1,590.06,20.71
I00079,O0471,P0069,5,3167.67,95.92
I00080,O0293,P0404,3,550.56,49.67
I00081,O0146,P0353,1,4109.17,29.53
I00082,O0347,P0094,2,3488.02,18.27
I00083,O0488,P0378,2,3628.55,89.74
I00084,O0107,P0132,2,3158.94,85.74
I00085,O0471,P0241,4,736.03,10.52
I00086,O0039,P0405,2,354.71,95.27
I00087,O0405,P0394,2,4868.25,63.93
I00088,O0383,P0437,5,3061.95,41.37
I00089,O0383,P0134,4,642.86,66.04
I00090,O0115,P0362,5,2682.82,99.48
I00091,O0355,P0225,3,2103.85,72.71
I00092,O0385,P0047,2,3362.73,28.89
I00093,O0088,P0035,2,4822.61,42.71
I00094,O0135,P0072,2,3522.41,34.94
I00095,O0248,P0013,1,2882.69,39.72
I00096,O0008,P0030,2,2797.52,14.21
I00098,O0065,P0290,2,2961.65,70.36
I00099,O0357,P0060,2,274.28,56.81
I00100,O0228,P0196,5,2134.52,58.61
I00101,O0397,P0115,3,2738.87,93.28
I00103,O0275,P0308,4,970.56,35.44
I00104,O0322,P0017,1,743.06,53.53
I00105,O0349,P0074,1,4554.92,74.65
I00106,O0410,P0376,2,4098.71,10.25
I00107,O0054,P0157,2,4003.4,66.59
I00108,O0451,P0237,1,2478.21,58.44
I00109,O0217,P0245,5,3417.1,92.69
I00110,O0118,P0407,1,992.51,15.02
I00111,O0301,P0142,2,4285.58,13.9
I00112,O0053,P0095,4,2707.0,33.98
I00113,O0292,P0495,2,2979.14,7.52
I00114,O0218,P0041,3,4020.14,37.14
I00115,O0449,P0290,5,426.27,57.28
I00116,O0340,P0045,2,4925.6,29.5
I00117,O0187,P0198,2,2142.83,48.16
I00118,O0057,P0420,3,2672.61,21.83
I00119,O0441,P0435,1,1091.45,27.38
I00120,O0100,P0100,1,164.92,81.41
I00121,O0317,P0164,3,976.7,58.55
I00122,O0453,P0006,3,1126.42,55.11
I00123,O0216,P0443,3,4643.71,34.09
I00124,O0199,P0196,5,3167.67,13.26
I00125,O0127,P0040,3,4983.1,91.56
I00126,O0082,P0366,5,4890.92,66.4
I00127,O0423,P0187,4,3986.39,99.27
I00128,O0067,P0206,1,1524.02,61.64
I00129,O0344,P0240,5,1548.14,22.78
I00130,O0004,P0106,3,368.91,93.46
I00131,O0410,P0374,2,4285.65,56.02
I00132,O0126,P0167,5,900.79,84.01
I00133,O0165,P0291,4,4745.26,61.42
I00134,O0182,P0334,4,4786.89,27.24
I00135,O0411,P0363,2,1526.71,31.44
I00136,O0138,P0122,5,1073.74,21.12
I00137,O0475,P0384,1,3237.28,30.39
I00138,O0230,P0402,2,2102.57,34.85
I00139,O0015,P0209,4,243.01,46.51
I00140,O0073,P0439,4,392.2,0.84
I00141,O0383,P0263,3,1908.4,80.44
I00142,O0379,P0289,5,2921.81,99.87
I00143,O0086,P0256,4,2215.9,50.01
I00144,O0126,P0268,2,3027.88,18.27
I00145,O0469,P0350,2,4854.36,30.49
I00146,O0276,P0246,2,3444.4,29.72
I00147,O0181,P0105,3,1939.5,5.69
I00148,O0286,P0379,1,4563.94,44.91
I00149,O0440,P0270,4,3223.93,98.57
