order_id,customer_id,order_date,status,region_code
O0001,C0041,2026-01-22 12:04:01,DELIVERED,East
O0002,C0036,2025-02-13 12:04:01,SHIPPED,North
O0003,,2024-10-16 12:04:01,RETURNED,East
O0004,C0452,2024-12-16 12:04:01,RETURNED,North
O0005,C0266,2024-07-22 12:04:01,PLACED,West
O0006,C0205,2025-11-24 12:04:01,RETURNED,West
O0007,C0138,2025-05-21 12:04:01,PLACED,North
O0008,C0487,2025-12-02 12:04:01,PLACED,North
O0009,C0467,2026-04-17 12:04:01,DELIVERED,West
O0010,C0092,2024-10-20 12:04:01,SHIPPED,South
O0011,C0041,2025-11-04 12:04:01,RETURNED,East
O0012,C0248,2025-06-11 12:04:01,SHIPPED,South
O0013,C0150,2024-07-16 12:04:01,PLACED,North
O0014,C0064,2024-09-11 12:04:01,DELIVERED,East
O0015,C0105,2024-11-27 12:04:01,RETURNED,East
O0016,C0147,2024-11-08 12:04:01,DELIVERED,North
O0017,C0470,2024-11-18 12:04:01,PLACED,East
O0018,C0420,2024-11-24 12:04:01,CANCELLED,West
O0019,C0176,2025-03-11 12:04:01,RETURNED,East
O0020,C0155,07-02-2025,PLACED,North
O0021,C0365,2025-11-19 12:04:01,DELIVERED,West
O0022,C0045,2024-11-29 12:04:01,DELIVERED,East
O0023,C0233,2025-06-27 12:04:01,DELIVERED,West
O0024,C0348,2026-06-09 12:04:01,PLACED,East
O0025,C0225,2024-09-04 12:04:01,RETURNED,North
O0026,C0059,2025-12-12 12:04:01,CANCELLED,West
O0027,C0287,2024-08-24 12:04:01,DELIVERED,West
O0028,C0094,2025-09-15 12:04:01,SHIPPED,East
O0029,C0351,2026-07-04 12:04:01,RETURNED,East
O0030,,2025-04-07 12:04:01,DELIVERED,South
O0031,C0217,2024-11-22 12:04:01,RETURNED,East
O0032,C0357,2025-06-20 12:04:01,DELIVERED,East
O0033,,2026-03-20 12:04:01,RETURNED,North
O0034,C0452,2025-11-08 12:04:01,RETURNED,South
O0035,C0199,2025-01-28 12:04:01,DELIVERED,South
O0036,C0274,2025-04-02 12:04:01,SHIPPED,South
O0037,C0172,2026-04-24 12:04:01,CANCELLED,South
O0038,C0127,2025-10-20 12:04:01,CANCELLED,North
O0039,C0484,2025-02-17 12:04:01,CANCELLED,South
O0040,C0337,2024-12-04 12:04:01,SHIPPED,North
O0041,C0175,2026-03-19 12:04:01,DELIVERED,North
O0042,C0253,2025-01-20 12:04:01,PLACED,West
O0043,C0094,2024-12-18 12:04:01,DELIVERED,West
O0044,C0367,2025-12-08 12:04:01,PLACED,West
O0045,C0474,2026-01-20 12:04:01,SHIPPED,West
O0046,C0251,2025-02-23 12:04:01,PLACED,South
O0047,C0174,2025-09-16 12:04:01,PLACED,North
O0048,C0386,2025-09-27 12:04:01,PLACED,East
O0049,C0096,2024-07-17 12:04:01,RETURNED,West
O0050,C0229,2026-07-08 12:04:01,RETURNED,North
O0051,C0057,2026-02-15 12:04:01,DELIVERED,East
O0052,C0095,2024-10-19 12:04:01,PLACED,South
O0053,C0157,02-01-2025,PLACED,South
O0054,C0114,2025-10-06 12:04:01,RETURNED,East
O0055,C0092,2025-03-04 12:04:01,RETURNED,West
O0056,C0320,2025-03-31 12:04:01,RETURNED,West
O0057,C0058,2026-05-18 12:04:01,DELIVERED,West
O0058,C0393,2026-05-20 12:04:01,PLACED,North
O0059,C0168,2025-01-09 12:04:01,CANCELLED,South
O0060,C0414,2025-06-03 12:04:01,DELIVERED,East
O0061,C0149,2024-09-04 12:04:01,PLACED,West
O0062,C0278,2025-05-13 12:04:01,SHIPPED,South
O0063,C0418,2024-08-11 12:04:01,RETURNED,North
O0064,C0107,2026-01-15 12:04:01,PLACED,South
O0065,C0247,2025-09-15 12:04:01,DELIVERED,West
O0066,C0334,2025-03-16 12:04:01,SHIPPED,North
O0067,C0373,2025-09-19 12:04:01,DELIVERED,East
O0068,,2025-10-03 12:04:01,RETURNED,West
O0069,C0432,2025-02-21 12:04:01,SHIPPED,South
O0070,C0164,2026-05-13 12:04:01,RETURNED,South
O0071,C0458,2026-02-24 12:04:01,PLACED,North
O0072,,2026-03-02 12:04:01,SHIPPED,South
O0073,C0459,2024-12-09 12:04:01,RETURNED,East
O0074,C0120,2026-01-16 12:04:01,RETURNED,South
O0075,C0434,2024-09-09 12:04:01,DELIVERED,North
O0076,C0203,2024-12-15 12:04:01,RETURNED,East
O0077,C0168,2025-04-05 12:04:01,CANCELLED,West
O0078,C0130,2025-09-26 12:04:01,RETURNED,East
O0079,C0275,2025-06-03 12:04:01,RETURNED,North
O0080,C0282,2026-04-18 12:04:01,SHIPPED,East
O0081,C0385,2024-09-15 12:04:01,SHIPPED,North
O0082,C0312,2026-04-19 12:04:01,SHIPPED,South
O0083,C0060,2026-05-29 12:04:01,CANCELLED,North
O0084,C0300,2026-04-03 12:04:01,PLACED,East
O0085,C0416,2026-04-06 12:04:01,PLACED,West
O0086,C0423,2024-09-24 12:04:01,DELIVERED,North
O0087,C0017,2024-08-22 12:04:01,RETURNED,North
O0088,C0405,2025-10-05 12:04:01,PLACED,West
