product_id,product_name,category,subcategory,cost_price
P0001,History,Books,History,2098.3
P0002,Programming,Books,Programming,367.78
P0003,Shirt,Clothing,Shirt,995.32
P0004,Jeans,Clothing,Jeans,4140.61
P0005,Novel,Books,Novel,2870.42
P0006, JACKET ,Clothing,Jacket,3404.76
P0007,Headphones,Electronics,Headphones,2037.28
P0008,Shirt,Clothing,Shirt,397.13
P0009,Mobile,Electronics,Mobile,4416.2
P0010,Novel,Books,Novel,2688.15
P0011,Science,Books,Science,2931.38
P0012,Smart Watch,Electronics,Smart Watch,1750.28
P0013,Jacket,Clothing,Jacket,2058.64
P0014,Jacket,Clothing,Jacket,1727.45
P0015,Sofa,Home,Sofa,4762.27
P0016,Chair,Home,Chair,2980.22
P0017,Smart Watch,Electronics,Smart Watch,471.82
P0018,Smart Watch,Electronics,Smart Watch,1503.71
P0019,Shirt,Clothing,Shirt,2548.94
P0020,Novel,Books,Novel,552.95
P0021,Shirt,Clothing,Shirt,2055.5
P0022,Mobile,Electronics,Mobile,2254.03
P0023, T-SHIRT ,Clothing,T-Shirt,2773.17
P0024, HISTORY ,Books,History,1344.68
P0025, SHIRT ,Clothing,Shirt,1000.73
P0026,T-Shirt,Clothing,T-Shirt,4607.68
P0027,Sofa,Home,Sofa,2464.96
P0028,Mobile,Electronics,Mobile,947.62
P0029,Chair,Home,Chair,768.05
P0030,Science,Books,Science,4077.88
P0031,Mobile,Electronics,Mobile,4588.81
P0032,Jacket,Clothing,Jacket,4914.65
P0033,Jacket,Clothing,Jacket,2126.47
P0034,History,Books,History,711.62
P0035,Programming,Books,Programming,757.93
P0036,Jeans,Clothing,Jeans,2159.23
P0037,Smart Watch,Electronics,Smart Watch,1528.58
P0038,Mobile,Electronics,Mobile,4077.43
P0039,Chair,Home,Chair,1082.96
P0040, SCIENCE ,Books,Science,357.14
P0041,History,Books,History,1930.57
P0042,Programming,Books,Programming,2083.6
P0043,Jeans,Clothing,Jeans,2178.13
P0044,Smart Watch,Electronics,Smart Watch,2120.41
P0045,Mobile,Electronics,Mobile,1937.08
P0046,Table,Home,Table,4961.71
P0047,Table,Home,Table,4796.95
P0048,Headphones,Electronics,Headphones,2686.14
P0049,History,Books,History,3894.61
P0050,Sofa,Home,Sofa,3333.62
P0051,Jeans,Clothing,Jeans,3733.58
P0052,T-Shirt,Clothing,T-Shirt,2601.0
P0053,Shirt,Clothing,Shirt,3966.11
P0054,Programming,Books,Programming,817.31
P0055,History,Books,History,408.41
P0056,Lamp,Home,Lamp,3316.11
P0057,Table,Home,Table,2913.63
P0058,Jacket,Clothing,Jacket,4263.44
P0059,Science,Books,Science,102.37
P0060,Jeans,Clothing,Jeans,3420.18
